Round,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Number,Number of 1st Prize Winner,1st Prize Amount,Number of 2nd Prize Winner,2nd Prize Amount,Number of 3rd Prize Winner,3rd Prize Amount,Draw Date
80,17,18,24,25,26,30,1,1,13809540000,16,143849375,868,2651602,20230603
81,5,7,11,13,20,33,6,5,2714288880,20,113095370,1046,2162436,20230527
82,1,2,3,14,27,42,39,1,14562494400,20,121354120,637,3810177,20230520
83,6,10,15,17,19,34,14,2,7086948300,15,157487740,851,2775930,20230513
84,16,23,27,34,42,45,11,2,7669779000,17,150387824,635,4026131,20230506
85,6,8,13,23,31,36,21,4,3462109800,31,74453975,823,2804464,20230429
86,2,12,37,39,41,45,33,1,14252186400,16,148460275,611,3887667,20230422
87,4,12,16,23,34,43,26,11,1799358055,33,99964337,1250,2639059,20230415
88,1,17,20,24,30,41,27,4,3069709650,31,66015262,1183,1729902,20230408
89,4,26,28,29,33,40,37,3,4248321900,30,70805365,1340,1585195,20230401
90,17,20,29,35,38,44,10,4,3291435300,34,64537948,1297,1691820,20230325
91,1,21,24,26,29,42,27,4,3582902400,32,74643800,1205,1982242,20230318
92,3,14,24,33,35,36,17,11,1233270846,50,45219931,1623,1393098,20230311
93,6,22,24,36,38,44,19,6,2269178150,26,87276083,1462,1552106,20230304
94,5,32,34,40,41,45,6,6,2245339950,38,59087894,1353,1659527,20230225
95,8,17,27,31,34,43,14,8,1747741238,48,48548368,1728,1348566,20230218
96,1,3,8,21,22,31,20,7,1847133515,38,56710240,1197,1800326,20230211
97,6,7,14,15,20,36,3,9,1496214000,46,48789587,1543,1454518,20230204
98,6,9,16,23,24,32,43,4,3177972300,45,47081072,1880,1126941,20230128
99,1,3,10,27,29,37,11,6,2169219050,40,54230477,1581,1372056,20230121
100,1,7,11,23,37,42,6,4,3315315525,36,61394732,1544,1431484,20230114
101,1,3,17,32,35,45,8,5,2707297500,38,59370560,1405,1605752,20230107
102,17,22,24,26,35,40,42,9,1457153067,24,91072067,1352,1616664,20221231
103,5,14,15,27,30,45,10,8,1691589563,38,59354020,1583,1424797,20221224
104,17,32,33,34,42,44,35,2,6610743750,23,95807881,1293,1704240,20221217
105,8,10,20,34,41,45,28,4,3416781450,26,87609781,1331,1711386,20221210
106,4,10,12,22,24,33,29,16,810461157,40,54030744,2056,1051182,20221203
107,1,4,5,6,9,31,17,2,6679927800,35,63618360,2181,1020928,20221126
108,7,18,22,23,29,44,12,7,1998900772,41,56879291,1462,1595111,20221119
109,1,5,34,36,42,44,33,12,1246838200,31,80441175,1493,1670246,20221112
110,7,20,22,23,29,43,1,3,4566262000,38,60082395,1392,1640181,20221105
111,7,18,31,33,36,40,27,6,2199047450,51,43118578,1734,1268194,20221029
112,26,29,30,33,41,42,43,9,1567271167,32,73465836,1370,1715991,20221022
113,4,9,28,33,36,45,26,9,1561528934,43,54471940,1479,1583701,20221015
114,11,14,19,26,28,41,2,6,2362345050,41,57618172,1491,1584404,20221008
115,1,2,6,9,25,28,31,9,1488589567,34,65673070,1990,1122053,20221001
116,2,4,25,31,34,37,17,7,1997747315,56,41619736,1735,1343346,20220924
117,5,10,22,34,36,44,35,9,1558378334,50,46751350,1642,1423610,20220917
118,3,4,10,17,19,22,38,10,1297989720,41,52763810,1671,1294624,20220910
119,3,11,13,14,17,21,38,9,1474899400,49,45149982,1936,1142743,20220903
120,4,6,10,11,32,37,30,3,4364530300,31,70395650,1605,1359667,20220827
121,12,28,30,34,38,43,9,2,6839648100,31,73544604,1342,1698870,20220820
122,1,11,16,17,36,40,8,9,1450073800,38,57239756,1403,1550329,20220813
123,7,17,18,28,30,45,27,5,2532982680,38,55547866,1477,1429126,20220806
124,4,16,23,25,29,42,1,9,1395936267,37,56592011,1540,1359679,20220730
125,2,8,32,33,35,36,18,7,1754870786,36,56870813,1444,1417832,20220723
